Year,Ton Exports (Viet),Value (Viet),Adjust Value (Viet - 2010 USD),Ton Exports (Brazil),Value (Brazil),Adjust Value (Brazil - 2010 USD),% Share of Viet Exports,GDP,Inflation,Unit Value (Viet),Unit Value (Brazil),Transport Cost (Viet),Transport Cost (Brazil),Total Production (Viet) ,Total Production (Brazil) ,Total Production (World),Total Production Percentage (Viet),Total Production Percentage (Brazil)
2010,153035,250132.13,250132.13,365405.31,1072206.47,1072206.47,0.13,1.5049E+13,1.640043442,1.63447661,2.93429365,100,100.00,1164900,3270000,8484540,13.73,38.54
2011,138601,341092.53,330859.76,399102.10,1809205.93,1754929.75,0.11,1.55997E+13,3.156841569,2.387138297,4.397195033,98.03,114.00,1560000,2952000,8690220,17.95,33.97
2012,203516,459616.33,436635.51,289184.08,1065774.52,1012485.80,0.12,1.6254E+13,2.069337265,2.145460365,3.501180982,102.04,95.62,1590000,3456000,9481080,16.77,36.45
2013,142091,302014.53,283893.66,335501.93,893745.11,840120.41,0.11,1.68432E+13,1.464832656,1.997970705,2.504070256,104.84,98.32,1789980,3432000,9603240,18.64,35.74
2014,172911,372210.20,342433.39,400683.36,1200507.85,1104467.22,0.10,1.75507E+13,1.622222977,1.980397569,2.756458884,102.68,98.76,1644000,3258000,9227760,17.82,35.31
2015,158900,317261.13,291880.24,437196.31,1184161.73,1089428.79,0.12,1.8206E+13,0.118627136,1.836880048,2.491852661,86.37,62.43,1735800,2964000,9144240,18.98,32.41
2016,237195,449914.63,409422.32,358182.61,943649.63,858721.17,0.13,1.86951E+13,1.261583206,1.726100112,2.397439589,85.53,60.40,1602000,3366000,9667740,16.57,34.82
2017,182713,406544.38,361824.50,331863.50,921697.50,820310.78,0.13,1.94773E+13,2.130110004,1.980288764,2.47183186,89.69,77.79,1758000,3126000,9590340,18.33,32.60
2018,182576,340221.90,295993.05,321610.66,775542.74,674722.18,0.10,2.05331E+13,2.442583297,1.621204611,2.097947202,98.69,94.46,1824000,3990000,10557360,17.28,37.79
2019,146254,246851.15,209823.48,440366.95,911092.06,774428.25,0.09,2.1381E+13,1.812210075,1.434651206,1.758597577,104.96,79.65,1878000,3630000,10144800,18.51,35.78
2020,142482,254891.47,214108.83,430291.19,932207.71,783054.48,0.09,2.10605E+13,1.233584396,1.502707955,1.819824543,87.17,57.09,1740000,4194000,10601040,16.41,39.56
2021,134013,273372.68,218698.14,446472.16,1125937.05,900749.64,0.09,2.33151E+13,4.697858864,1.631917381,2.017482215,75.32,95.25,1894800,3486000,9922740,19.10,35.13
2022,129347,305413.92,229060.44,432307.45,1718635.69,1288976.77,0.07,2.54627E+13,8.002799821,1.770898745,2.981620527,89.57,162.65,1785000,3756000,10201140,17.50,36.82